ImageId,Label
1,1
2,0
3,9
4,6
5,3
6,7
7,0
8,3
9,0
10,3
11,5
12,6
13,5
14,0
15,5
16,3
17,4
18,1
19,9
20,0
21,9
22,1
23,1
24,5
25,7
26,4
27,2
28,7
29,5
30,7
31,7
32,5
33,4
34,2
35,6
36,2
37,6
38,5
39,1
40,6
41,7
42,7
43,4
44,9
45,7
46,6
47,8
48,4
49,6
50,6
51,6
52,8
53,7
54,3
55,8
56,2
57,1
58,2
59,3
60,4
61,5
62,1
63,7
64,0
65,0
66,0
67,2
68,9
69,0
70,1
71,6
72,5
73,7
74,8
75,3
76,7
77,7
78,9
79,2
80,4
81,5
82,6
83,1
84,2
85,8
86,2
87,4
88,2
89,6
90,7
91,3
92,0
93,6
94,6
95,3
96,4
97,3
98,8
99,7
100,5
101,0
102,7
103,2
104,0
105,6
106,3
107,0
108,5
109,0
110,5
111,1
112,0
113,4
114,5
115,1
116,6
117,1
118,1
119,4
120,4
121,3
122,7
123,2
124,8
125,6
126,2
127,8
128,8
129,7
130,4
131,3
132,5
133,6
134,0
135,0
136,0
137,3
138,1
139,5
140,3
141,5
142,3
143,4
144,4
145,5
146,8
147,7
148,6
149,2
150,6
151,4
152,3
153,6
154,7
155,4
156,3
157,7
158,5
159,7
160,8
161,3
162,1
163,4
164,6
165,1
166,4
167,7
168,6
169,3
170,0
171,3
172,7
173,8
174,6
175,1
176,3
177,7
178,5
179,1
180,2
181,4
182,5
183,7
184,2
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,1
193,4
194,7
195,6
196,0
197,9
198,7
199,3
200,9
201,1
202,9
203,0
204,8
205,10
206,0
207,8
208,4
209,5
210,2
211,1
212,9
213,3
214,6
215,7
216,2
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,2
225,2
226,2
227,5
228,6
229,0
230,0
231,0
232,4
233,9
234,2
235,7
236,4
237,2
238,3
239,7
240,6
241,8
242,6
243,2
244,8
245,5
246,5
247,7
248,7
249,3
250,5
251,9
252,7
253,1
254,4
255,8
256,5
257,5
258,1
259,4
260,5
261,6
262,4
263,3
264,5
265,7
266,0
267,6
268,8
269,4
270,1
271,5
272,0
273,6
274,3
275,7
276,6
277,1
278,5
279,9
280,4
281,0
282,9
283,1
284,1
285,5
286,3
287,7
288,5
289,10
290,9
291,5
292,7
293,7
294,9
295,8
296,6
297,3
298,1
299,4
300,2
301,6
302,9
303,7
304,2
305,5
306,3
307,6
308,1
309,4
310,5
311,8
312,5
313,8
314,1
315,0
316,3
317,6
318,5
319,2
320,9
321,5
322,1
323,1
324,8
325,8
326,4
327,6
328,1
329,6
330,5
331,6
332,3
333,1
334,3
335,-1
336,9
337,0
338,1
339,6
340,3
341,6
342,3
343,1
344,8
345,7
346,0
347,6
348,6
349,3
350,2
351,6
352,7
353,7
354,1
355,5
356,9
357,7
358,9
359,2
360,6
361,7
362,6
363,3
364,8
365,6
366,2
367,3
368,7
369,1
370,6
371,5
372,7
373,7
374,9
375,7
376,6
377,8
378,5
379,3
380,7
381,6
382,5
383,6
384,5
385,2
386,6
387,2
388,1
389,3
390,7
391,1
392,7
393,7
394,9
395,6
396,1
397,1
398,1
399,7
400,2
401,9
402,7
403,7
404,2
405,1
406,1
407,9
408,3
409,4
410,6
411,5
412,1
413,4
414,1
415,2
416,3
417,1
418,1
419,4
420,5
421,9
422,5
423,6
424,6
425,4
426,1
427,4
428,7
429,6
430,6
431,4
432,8
433,5
434,2
435,5
436,1
437,3
438,9
439,5
440,0
441,8
442,4
443,7
444,4
445,4
446,4
447,4
448,5
449,3
450,9
451,7
452,7
453,6
454,9
455,5
456,8
457,1
458,3
459,5
460,6
461,4
462,7
463,5
464,2
465,5
466,1
467,7
468,5
469,5
470,1
471,1
472,4
473,9
474,4
475,5
476,0
477,4
478,3
479,1
480,0
481,4
482,8
483,2
484,2
485,7
486,9
487,4
488,7
489,3
490,7
491,7
492,4
493,2
494,3
495,4
496,5
497,6
498,3
499,2
500,0
501,6
502,5
503,8
504,5
505,1
506,8
507,3
508,4
509,1
510,2
511,7
512,7
513,9
514,5
515,5
516,3
517,3
518,7
519,3
520,2
521,3
522,9
523,0
524,6
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,4
534,8
535,4
536,5
537,5
538,5
539,7
540,3
541,0
542,1
543,9
544,2
545,0
546,4
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,4
555,0
556,0
557,7
558,5
559,6
560,2
561,2
562,3
563,7
564,1
565,6
566,5
567,5
568,1
569,3
570,6
571,6
572,5
573,3
574,5
575,0
576,5
577,8
578,2
579,5
580,3
581,5
582,1
583,6
584,6
585,9
586,1
587,7
588,3
589,9
590,3
591,8
592,8
593,5
594,5
595,3
596,6
597,6
598,6
599,0
600,3
601,3
602,1
603,7
604,1
605,6
606,1
607,7
608,5
609,6
610,5
611,7
612,4
613,2
614,3
615,2
616,4
617,7
618,0
619,-1
620,10
621,9
622,5
623,9
624,5
625,-1
626,8
627,4
628,4
629,6
630,4
631,6
632,1
633,7
634,6
635,1
636,4
637,7
638,7
639,8
640,3
641,1
642,8
643,8
644,5
645,7
646,7
647,6
648,6
649,1
650,8
651,5
652,9
653,0
654,1
655,7
656,2
657,5
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,5
666,7
667,1
668,3
669,4
670,6
671,3
672,9
673,4
674,3
675,7
676,7
677,7
678,4
679,6
680,0
681,6
682,9
683,8
684,4
685,1
686,4
687,5
688,6
689,8
690,8
691,2
692,6
693,-1
694,1
695,7
696,4
697,3
698,9
699,8
700,8
701,4
702,1
703,6
704,0
705,6
706,1
707,4
708,4
709,6
710,5
711,2
712,7
713,1
714,6
715,6
716,6
717,2
718,3
719,7
720,7
721,9
722,2
723,2
724,0
725,1
726,2
727,6
728,5
729,6
730,4
731,7
732,1
733,3
734,2
735,7
736,7
737,1
738,5
739,2
740,5
741,5
742,3
743,3
744,4
745,3
746,9
747,1
748,7
749,8
750,6
751,5
752,9
753,4
754,4
755,4
756,4
757,8
758,1
759,1
760,5
761,6
762,0
763,4
764,1
765,4
766,0
767,0
768,7
769,1
770,9
771,5
772,5
773,0
774,1
775,6
776,3
777,4
778,6
779,3
780,1
781,2
782,6
783,8
784,9
785,2
786,6
787,5
788,5
789,7
790,6
791,4
792,1
793,4
794,0
795,3
796,3
797,1
798,6
799,9
800,8
801,1
802,1
803,3
804,3
805,1
806,5
807,9
808,6
809,5
810,1
811,5
812,4
813,3
814,3
815,3
816,5
817,0
818,8
819,7
820,4
821,3
822,0
823,5
824,0
825,2
826,9
827,0
828,4
829,5
830,1
831,8
832,5
833,5
834,9
835,3
836,9
837,6
838,1
839,5
840,5
841,1
842,9
